# Line ID		Wave (obs)		Wavel (lab)				Aul (s-1)			gu		gl		l_lvl			u_lvl
# --------	----------		---------					---------			---		---		-----			-----
H22-2			3676.4						3676.376					1.347E3			968		8			22				2
H21-2			3679.4						3679.370					1.701E3			882		8			21				2
H20-2			3682.8						3682.823					2.172E3			800		8			20				2
H19-2			3686.8						3686.831					2.809E3			722		8			19				2
H18-2			3691.6						3691.551					3.685E3			648		8			18				2
H17-2			3697.1						3697.157					4.910E3			578		8			17				2
H16-2			3703.9						3703.859					6.658E3			512		8			16				2
H15-2			3712.0						3711.978					9.210E3			450		8			15				2
H14-2			3722.0						3721.946					1.303E4			392		8			14				2
[OII]			3726.1						3726.032					1.59E-4			4			4			4S0 3/2		2D0	3/2
[OII]			3728.9						3728.815					2.86E-5			4			6			4S0 3/2		2D0	5/2
H13-2			3734.4						3734.369					1.893E4			338		8			13				2
H12-2			3750.2						3750.151					2.834E4			288		8			12				2
NIII			3754.7						3754.67						3.78E7			4			4			4P0 3/2		4S 3/2
OII 				-								3749.486					8.97E7			6			4			4P 5/2		4S0	3/2
OIII			3757.0						3757.210					5.56E7			1			3			3P0	0			3D 1
OIII			3760.0						3759.870					9.79E7			5			7			3P0 2			3D 3
H11-2			3770.6						3770.633					4.397E4			242		8			11				2
NIII				-								3771.05						5.59E7			6			4			4P0 5/2		4S 3/2
H10-2			3797.9						3797.909					7.123E4			200		8			10				2
HeI 			3819.5						3819.607					6.435E6			5			7			3P0 2			3D 3
H9-2			3835.4						3835.397					1.216E5			162		8			9					2
NII					-								3838.374					6.98E7			5			5			3P 2			3P0 2
[NeIII]		3868.8						3868.760					1.74E-1			5			5			3P 2			1D 2
H8-2			3889.1						3889.064					2.215E5			128		8			8					2
NII 				-								3919.001					7.56E7			3			3			1P 1			1P0 1
NII 				-								3955.851					1.21E7			3			5			3P0 1			1D 2
[NeIII]		3967.5						3967.470					5.40E-2			3			5			3P 1			1D 2
H7-2			3970.1						3970.075					4.389E5			98		8			7					2
NII 				-								3994.997					1.22E8			3			5			1P0 1			1D 2
NIII				-								3998.63						1.76E8			4			6			2D 3/2		2F0 5/2
NIII				-								4003.58						1.88E8			6			8			2D 5/2		2F0 7/2
HeI 			4026.0 						4026.191					1.160E7			5			7			3P0 2			3D 3
[SII]			4068.9 						4068.600					1.92E-1			4			4			4S0 3/2		2P0 3/2
[SII]			4076.1						4076.349					7.72E-2			4			2			4S0 3/2		2P0 1/2
NIII			4097.2						4097.33						8.70E7			2			4			2S 1/2		2P0 3/2
NIII				-								4103.43						8.67E7			2			2			2S 1/2		2P0 1/2
Hdelta		4101.7						4101.734					9.732E5			72		8			6					2
NIII			4199.9						4195.76						9.37E7			2			4			2P0 1/2		2D 3/2
NIII				-								4200.10						1.12E8			4			6			2P0 3/2		2D 5/2
Hgamma		4340.5						4340.472					2.530E6			50		8			5					2
[OIII]		4362.9						4363.209					1.71E0			5			1			1D 2			1S 0
HeI 			4387.6						4387.929					8.989E6			3			5			1P0 1			1D 2
HeI 			4471.3						4471.480					2.458E7			5			7			3P0 2			3D 3
HeII 			4541.4						4540
NIII			4633.9						4624.14						6.36E7			2			4			2P0 1/2		2D 3/2
NIII			4640.8						4640.64						7.60E7			4			6			2P0 3/2		2D 5/2
OII					-								4641.810					5.85E7			4			6			4P 3/2		4D0 5/2
NII 				-								4643.086					4.39E7			5			3			3P0 2			3P 1
OII				4649.8						4649.135					7.84E7			6			8			4P 5/2		4D0 7/2
OII					-								4650.839					6.70E7			2			2			4P 1/2		4D0 1/2
OII				4661.2						4661.633					4.04E7			4			4			4P 3/2		4D0 3/2
OII				4676.2						4676.235					2.05E7			6			6			4P 5/2		4D0 5/2
HeII			4685.7						4685.804					2.207E8			6			8			2D 5/2		2F0 7/2
HeI				4711.4						4713.146					5.289E6			5			3			3P0 2			3S 1
[ArIV]			-								4711.35						9.60E-3			4			6			4S0 3/2		2D0 5/2
[NeIV]			-								4714.25						2.10E-1			6			4			2D0 5/2		2P0 3/2
[NeIV]			-								4724.15						3.58E-1			4			4			2D0 3/2		2P0 3/2
[ArIV]			-								4740.20						7.2E-2			4			4			4S0 3/2		2D0 3/2
Hbeta			4861.3						4861.350					8.419E6			32		8			4					2
HeI				4921.9						4921.931					1.986E7			3			5			1P0 1			1D 2
[OIII]		4958.9						4958.911					6.21E-3			3			5			3P 1			1D 2
[OIII]		5006.8						5006.843					1.81E-2			5			5			3P 2			1D 2
HeI 			5015.3						5015.678					1.337E7			1			3			1S 0			1P0 1
HeI 			5047.1						5047.738					6.771E6			3			1			1P0 1			1S 0
[NI]			5197.8						5197.902					1.60E-5			4			4			4S0 3/2		2D0 3/2
[NI]			5200.0						5200.257					6.59E-6			4			6			4S0 3/2		2D0 5/2
HeII			5411.2						5411
[ClIII]		5517.4						5517.709					8.60E-4			4			6			4S0 3/2		2D0 5/2
[ClIII]		5537.5						5537.873					6.50E-3			4			4			4S0 3/2		2D0 3/2
[OI]			5577.9						5577.339					1.26E0			5			1			1D 2			1S 0
OIII			5592.0						5592.252					3.27E7			3			3			1P0 1			1P 1
