#Transition	 Wave0 (Ang)	 Eu (K) 	Aul (10-7 s-1)	LyA cascade (%)
#----------	------------	-------		--------------	---------------
1-0 S(8) 		17124 				14233 		2.34 						0.40
1-0 S(6) 		17874 				11523 		3.54 						7.1
1-0 S(5) 		18355 				10342 		3.95 						0.77
1-0 S(4) 		18918 				9286  		4.19 						14.4
1-0 S(3) 		19575 				8365 		  4.21 						9.3
1-0 S(2) 		20337 				7584  		3.98 						9.4
1-0 S(1) 		21218 				6951  		3.47 						11.6
1-0 S(0) 		22232 				6471  		2.53 						4.0
1-0 Q(1) 		24065 				6148  		4.29 						9.1
1-0 Q(2) 		24134 				6471  		3.03 						4.7
1-0 Q(3) 		24237 				6951  		2.78 						9.3
1-0 Q(4) 		24374				  7584  		2.65 						6.3
2-1 S(8) 		18153 				19449  		2.43 						0.18
2-1 S(6) 		18938 				16883  		4.31 						5.7
2-1 S(5) 		19444 				15764  		5.06 						0.74
2-1 S(2) 		21541				  13150  		5.6 						6.5
2-1 S(1) 		22477 				12549  		4.98 						7.4
2-1 S(0) 		23556 				12094  		3.68 						1.7
2-0 S(5) 		10849 				15764  		3.28 						0.48
2-0 S(2) 		11382 				13150  		2.38 						2.8
2-0 S(1) 		11622 				12549  		1.9 						2.8
2-0 S(0) 		11895 				12094  		1.27 						0.60
2-0 Q(1) 		12383 				11788  		1.61 						1.2
2-0 Q(2) 		12419 				12094  		1.38 						0.66
2-0 Q(3) 		12473 				12549  		1.29 						1.9
2-0 Q(4) 		12545 				13150  		1.25 						1.4
2-0 O(2) 		12932 				11635  		12.8 						0.73
2-0 O(3) 		13354 				11788  		1.94 						1.4
2-0 O(4) 		13816 				12094  		1.03 						0.49
2-0 O(5) 		14321 				12549  		0.7 						1.0
2-0 O(6) 		14870 				13150  		0.47 						0.55
3-2 S(6) 		20119 				21915  		3.59 						2.5
3-2 S(5) 		20650 				20857  		4.53 						0.27
3-2 S(4) 		21278 				19912  		5.25 						5.7
3-2 S(3) 		22013 				19085  		5.65 						3.3
3-2 S(2) 		22870 				18385  		5.65 						2.9
3-2 S(1) 		23865 				17817  		5.15 						4.2
3-1 S(0) 		12620 				17387  		3.19 						0.56
3-1 S(1) 		12330 				17817  		4.68 						3.8
3-1 S(2) 		12075 				18385  		5.76 						3.0
3-1 S(3) 		11856 				19085  		6.59 						3.9
3-1 O(3) 		14180 				17097  		4.99 						1.6
3-1 O(4) 		14677 				17387  		2.86 						0.50
3-1 O(5) 		15220 				17817  		1.98 						1.6
3-1 O(6) 		15812 				18385  		1.38 						0.72
3-1 O(7) 		16455 				19085  		0.96 						0.56
4-3 S(6) 		21441 				26622  		2.3 						0.48
4-3 S(5) 		21997 				25626  		3.24 						0.17
4-3 S(4) 		22658 				24735  		4.04 						2.0
4-3 S(3) 		23435 				23956  		4.6 						0.97
4-2 S(0) 		13422 				22354  		5.25 						0.23
4-2 S(1) 		13113 				22761  		7.56 						2.7
4-2 S(2) 		12843 				23296  		9.15 						2.8
4-2 S(3) 		12613 				23956  		10.3 						2.2
4-2 O(3) 		15094 				22081  		7.69 						1.5
4-2 O(4) 		15631 				22354  		5.17 						0.23
4-2 O(5) 		16219 				22761  		3.67 						1.3
4-2 O(6) 		16862 				23296  		2.63						0.82
4-2 O(7) 		17562 				23956  		1.88 						0.40
4-2 O(10) 	20058 				26622  		0.64 						0.13
5-3 Q(1) 		14909 				26747  		11.6 						1.2
5-3 Q(3) 		15036 				27386  		7.63 						1.6
5-3 Q(4) 		15138 				27889  		7.36 						1.3
5-3 Q(5) 		15267 				28509  		7.17 						0.98
5-3 Q(6) 		15424 				29240  		7.0 						2.0
5-3 Q(7) 		15608 				30075  		6.82 						0.24
5-3 Q(8) 		15821 				31008  		6.64 						1.1
5-3 O(3) 		16111 				26747  		11.1 						1.2
5-3 O(5) 		17333 				27386  		5.53 						1.1
5-3 O(6) 		18035 				27889  		4.05 						0.74
5-3 O(7) 		18803 				28509  		2.97 						0.41
5-3 O(8) 		19642 				29240  		2.16 						0.61
6-4 S(1) 		14958 				31700  		11.4 						2.9
6-4 S(2) 		14658 				32170  		13.3 						0.70
6-4 S(3) 		14405 				32748  		14.3 						3.5
6-4 Q(1) 		15947 				31103  		14.0 						0.59
6-4 Q(3) 		16095 				31700  		9.15 						2.4
6-4 Q(4) 		16214 				32170  		8.79 						0.47
6-4 Q(5) 		16364 				32748  		8.52 						2.1
6-4 Q(6) 		16547 				33430  		8.27 						2.1
6-4 Q(7) 		16762 				34209  		8.01 						0.18
6-4 Q(8) 		17013				  35078  		7.73 						2.5
6-4 O(3) 		17246 				31103  		14.0 						0.59
6-4 O(5) 		18580 				31700 	  7.23 						1.9
6-4 O(6) 		19352 				32170  		5.41 						0.29
6-4 O(7) 		20200 				32748  		4.05 						1.0
7-5 O(5) 		19983 				35709  		8.45 						1.4
7-5 O(7) 		21780 				36681  		4.88 						0.80
7-5 Q(3) 		17287 				35709  		9.8 						1.6
7-5 Q(5) 		17606 				36681  		9.01 						1.5
7-5 Q(6) 		17823 				37312  		8.68 						2.5
7-5 Q(8) 		18381 				38836  		7.93 						2.7
7-5 S(1) 		16055 				35709  		11.7 						1.9
7-5 S(3) 		15479 				36681  		13.8 						2.3
7-5 S(4) 		15268 				37312  		13.6 						3.9
7-5 S(6) 		14993 				38836  		11.3 						3.8
8-6 O(5) 		21568 				39419  		8.81 						1.3
8-6 S(1) 		17301 				39419  		10.6 						1.6
8-6 S(3) 		16707 				40311  		11.7 						1.8
