# COPERNICUS
#	EPS PER
#
#	Wavelegnth (A)	Mean Counts	  Mean Background	#Scans	Sigma
#	--------------  -----------   ---------------   ------  -----
	  960.194       406.085       422.963        1       0.00000
      960.294       464.251       425.425        1       0.00000
      960.394       491.568       427.525        1       0.00000
      960.494       465.839       429.002        1       0.00000
      960.594       440.316       430.288        1       0.00000
      960.694       415.095       431.273        1       0.00000
      960.794       404.303       432.663        1       0.00000
      960.894       414.503       434.642        1       0.00000
      960.994       444.568       436.187        1       0.00000
      961.094       500.136       437.171        1       0.00000
      961.194       505.382       438.606        1       0.00000
      961.294       450.867       440.576        1       0.00000
      961.394       429.169       442.545        1       0.00000
      961.494       443.367       444.515        1       0.00000
      961.594       441.232       446.729        1       0.00000
      961.694       422.613       449.190        1       0.00000
      961.794       420.967       451.398        1       0.00000
      961.894       435.156       453.367        1       0.00000
      961.994       456.401       454.807        1       0.00000
      962.094       483.693       455.792        1       0.00000
      962.194       479.737       456.502        1       0.00000
      962.294       450.951       456.994        1       0.00000
      962.394       407.617       458.055        1       0.00000
      962.494       353.594       459.533        1       0.00000
      962.594       296.723       461.309        1       0.00000
      962.694       237.911       463.288        1       0.00000
      962.794       250.539       464.953        1       0.00000
      962.894       305.615       466.430        1       0.00000
      962.994       350.258       467.907        1       0.00000
      963.094       389.176       469.384        1       0.00000
      963.194       344.864       470.532        1       0.00000
      963.294       258.998       471.517        1       0.00000
      963.394       223.168       472.502        1       0.00000
      963.494       210.057       473.487        1       0.00000
      963.594       257.944       473.775        1       0.00000
      963.694       331.037       473.775        1       0.00000
      963.794       347.607       473.411        1       0.00000
      963.894       344.060       472.919        1       0.00000
      963.994       0.00000       0.00000        0       0.00000
      964.094       0.00000       0.00000        0       0.00000
      964.194       197.909       483.348        1       0.00000
      964.294       271.156       482.856        1       0.00000
      964.394       294.463       483.268        1       0.00000
      964.494       231.864       485.238        1       0.00000
      964.594       167.801       487.019        1       0.00000
      964.694       101.365       488.503        1       0.00000
      964.794       75.7148       489.780        1       0.00000
      964.894       107.046       490.764        1       0.00000
      964.994       152.472       491.968        1       0.00000
      965.094       215.959       493.452        1       0.00000
      965.194       285.879       494.013        1       0.00000
      965.294       363.168       493.520        1       0.00000
      965.394       381.192       493.027        1       0.00000
      965.494       337.005       492.532        1       0.00000
      965.594       274.404       491.784        1       0.00000
      965.694       194.624       490.799        1       0.00000
      965.794       140.824       489.814        1       0.00000
      965.894       109.493       488.830        1       0.00000
      965.994       139.149       487.842        1       0.00000
      966.094       217.269       486.853        1       0.00000
      966.194       295.692       485.573        1       0.00000
      966.294       374.379       484.088        1       0.00000
      966.394       409.467       483.519        1       0.00000
      966.494       417.551       483.519        1       0.00000
      966.594       418.839       482.574        1       0.00000
      966.694       416.264       481.090        1       0.00000
      966.794       430.930       478.615        1       0.00000
      966.894       454.195       475.646        1       0.00000
      966.994       424.378       471.986        1       0.00000
      967.094       371.487       468.027        1       0.00000
      967.194       382.105       465.509        1       0.00000
      967.294       416.580       463.529        1       0.00000
      967.394       422.551       459.303        1       0.00000
      967.494       419.376       454.353        1       0.00000
      967.594       447.380       450.184        1       0.00000
      967.694       483.824       446.226        1       0.00000
      967.794       518.664       443.883        1       0.00000
      967.894       553.119       441.905        1       0.00000
      967.994       536.106       439.933        1       0.00000
      968.094       509.799       437.964        1       0.00000
      968.194       563.034       437.273        1       0.00000
      968.294       628.520       436.778        1       0.00000
      968.394       586.063       434.952        1       0.00000
      968.494       531.158       432.972        1       0.00000
      968.594       559.123       430.993        1       0.00000
      968.694       593.578       429.014        1       0.00000
      968.794       507.588       427.034        1       0.00000
      968.894       416.198       425.056        1       0.00000
      968.994       517.142       423.075        1       0.00000
      969.094       618.557       421.096        1       0.00000
      969.194       600.238       419.117        1       0.00000
      969.294       581.885       417.161        1       0.00000
      969.394       563.066       415.676        1       0.00000
      969.494       545.456       414.229        1       0.00000
      969.594       542.386       413.240        1       0.00000
      969.694       542.299       412.303        1       0.00000
      969.794       567.166       411.809        1       0.00000
      969.894       580.356       411.314        1       0.00000
      969.994       519.903       410.819        1       0.00000
      970.094       464.550       409.991        1       0.00000
      970.194       434.398       407.505        1       0.00000
      970.294       416.124       404.918        1       0.00000
      970.394       443.458       401.949        1       0.00000
      970.494       475.509       399.096        1       0.00000
      970.594       522.636       396.623        1       0.00000
      970.694       548.103       394.149        1       0.00000
      970.794       514.021       391.675        1       0.00000
      970.894       484.481       389.495        1       0.00000
      970.994       465.650       388.009        1       0.00000
      971.094       450.656       386.687        1       0.00000
      971.194       443.527       385.697        1       0.00000
      971.294       424.364       385.061        1       0.00000
      971.394       383.554       385.061        1       0.00000
      971.494       342.215       385.651        1       0.00000
      971.594       300.137       387.135        1       0.00000
      971.694       271.258       389.259        1       0.00000
      971.794       260.106       392.244        1       0.00000
      971.894       245.196       395.221        1       0.00000
      971.994       225.978       398.190        1       0.00000
      972.094       213.315       400.667        1       0.00000
      972.194       207.275       402.646        1       0.00000
      972.294       213.558       405.148        1       0.00000
      972.394       230.887       408.116        1       0.00000
      972.494       240.069       412.481        1       0.00000
      972.594       242.760       417.951        1       0.00000
      972.694       259.100       424.290        1       0.00000
      972.794       284.666       431.220        1       0.00000
      972.894       283.091       437.232        1       0.00000
      972.994       265.368       442.706        1       0.00000
      973.094       234.833       447.497        1       0.00000
      973.194       197.905       451.949        1       0.00000
      973.294       246.522       456.073        1       0.00000
      973.394       332.325       460.051        1       0.00000
      973.494       372.575       464.382        1       0.00000
      973.594       396.539       468.833        1       0.00000
      973.694       392.438       473.304        1       0.00000
      973.794       379.793       477.782        1       0.00000
      973.894       373.762       482.238        1       0.00000
      973.994       369.307       486.693        1       0.00000
      974.094       408.408       491.997        1       0.00000
      974.194       455.990       497.467        1       0.00000
      974.294       483.226       498.142        1       0.00000
      974.394       507.583       498.142        1       0.00000
      974.494       488.733       504.458        1       0.00000
      974.594       465.447       511.420        1       0.00000
      974.694       451.773       516.498        1       0.00000
      974.794       438.630       521.474        1       0.00000
      974.894       410.022       525.933        1       0.00000
      974.994       381.394       530.397        1       0.00000
      975.094       364.178       535.370        1       0.00000
      975.194       348.760       540.399        1       0.00000
      975.294       363.206       546.370        1       0.00000
      975.394       376.118       552.670        1       0.00000
      975.494       374.837       562.075        1       0.00000
      975.594       374.530       571.543        1       0.00000
      975.694       380.908       581.489        1       0.00000
      975.794       374.153       591.607        1       0.00000
      975.894       301.999       602.547        1       0.00000
      975.994       239.016       613.597        1       0.00000
      976.094       211.263       625.031        1       0.00000
      976.194       198.566       636.451        1       0.00000
      976.294       231.873       647.839        1       0.00000
      976.394       247.387       658.959        1       0.00000
      976.494       216.530       669.405        1       0.00000
      976.594       201.835       679.216        1       0.00000
      976.694       221.948       687.670        1       0.00000
      976.794       218.754       696.129        1       0.00000
      976.894       173.571       704.583        1       0.00000
      976.994       160.207       713.635        1       0.00000
      977.094       195.152       723.580        1       0.00000
      977.194       226.525       733.525        1       0.00000
      977.294       253.316       743.473        1       0.00000
      977.394       260.874       753.180        1       0.00000
      977.494       247.336       762.635        1       0.00000
      977.594       263.607       771.826        1       0.00000
      977.694       307.709       780.777        1       0.00000
      977.794       338.186       789.732        1       0.00000
      977.894       357.795       798.680        1       0.00000
      977.994       378.014       807.042        1       0.00000
      978.094       398.625       814.999        1       0.00000
      978.194       396.164       822.638        1       0.00000
      978.294       380.534       830.102        1       0.00000
      978.394       393.889       836.215        1       0.00000
      978.494       421.083       841.688        1       0.00000
      978.594       429.626       848.227        1       0.00000
      978.694       430.826       855.187        1       0.00000
      978.794       448.979       860.647        1       0.00000
      978.894       472.573       865.620        1       0.00000
      978.994       477.766       866.234        1       0.00000
      979.094       478.263       865.737        1       0.00000
      979.194       444.603       865.240        1       0.00000
      979.294       404.266       864.742        1       0.00000
      979.394       350.610       866.862        1       0.00000
      979.494       295.055       869.349        1       0.00000
      979.594       310.523       868.187        1       0.00000
      979.694       332.420       866.695        1       0.00000
      979.794       363.095       864.250        1       0.00000
      979.894       394.149       861.764        1       0.00000
      979.994       444.939       864.249        1       0.00000
      980.094       493.641       866.935        1       0.00000
      980.194       499.419       873.399        1       0.00000
      980.294       503.368       879.564        1       0.00000
      980.394       488.146       882.547        1       0.00000
      980.494       471.030       885.342        1       0.00000
      980.594       440.972       886.834        1       0.00000
      980.694       410.405       889.493        1       0.00000
      980.794       377.281       897.995        1       0.00000
      980.894       338.582       906.805        1       0.00000
      980.994       279.628       916.757        1       0.00000
      981.094       228.692       926.063        1       0.00000
      981.194       200.828       933.523        1       0.00000
      981.294       200.558       941.282        1       0.00000
      981.394       265.561       949.736        1       0.00000
      981.494       330.430       958.362        1       0.00000
      981.594       394.916       967.310        1       0.00000
      981.694       396.943       975.524        1       0.00000
      981.794       295.552       982.525        1       0.00000
      981.894       261.253       988.870        1       0.00000
      981.994       317.031       994.344        1       0.00000
      982.094       382.157       998.432        1       0.00000
      982.194       457.988       1000.94        1       0.00000
      982.294       512.019       1003.45        1       0.00000
      982.394       546.433       1005.95        1       0.00000
      982.494       500.881       1005.86        1       0.00000
      982.594       396.797       1003.87        1       0.00000
      982.694       400.040       1005.25        1       0.00000
      982.794       470.059       1008.74        1       0.00000
      982.894       499.524       1012.56        1       0.00000
      982.994       507.836       1016.56        1       0.00000
      983.094       481.419       1017.73        1       0.00000
      983.194       440.609       1017.73        1       0.00000
      983.294       412.177       1014.37        1       0.00000
      983.394       387.965       1009.87        1       0.00000
      983.494       466.767       1006.58        1       0.00000
      983.594       571.775       1003.59        1       0.00000
      983.694       603.547       1005.62        1       0.00000
      983.794       621.066       1008.62        1       0.00000
      983.894       640.702       1009.40        1       0.00000
      983.994       660.622       1009.90        1       0.00000
      984.094       721.165       1015.49        1       0.00000
      984.194       784.892       1021.49        1       0.00000
      984.294       801.068       1030.86        1       0.00000
      984.394       814.434       1040.37        1       0.00000
      984.494       731.666       1053.38        1       0.00000
      984.594       655.392       1066.80        1       0.00000
      984.694       668.642       1086.19        1       0.00000
      984.794       682.112       1107.15        1       0.00000
      984.894       697.349       1141.14        1       0.00000
      984.994       705.027       1174.97        1       0.00000
      985.094       672.216       1207.78        1       0.00000
      985.194       640.452       1239.55        1       0.00000
      985.294       612.948       1267.05        1       0.00000
      985.394       584.544       1293.43        1       0.00000
      985.494       553.322       1316.44        1       0.00000
      985.594       534.062       1336.00        1       0.00000
      985.694       543.027       1347.44        1       0.00000
      985.794       560.201       1354.86        1       0.00000
      985.894       593.512       1354.36        1       0.00000
      985.994       599.857       1353.86        1       0.00000
      986.094       563.444       1353.36        1       0.00000
      986.194       535.024       1357.41        1       0.00000
      986.294       516.911       1367.36        1       0.00000
      986.394       466.898       1381.85        1       0.00000
      986.494       381.733       1401.36        1       0.00000
      986.594       311.137       1419.27        1       0.00000
      986.694       253.613       1435.77        1       0.00000
      986.794       291.398       1444.49        1       0.00000
      986.894       399.137       1447.49        1       0.00000
      986.994       469.957       1443.62        1       0.00000
      987.094       518.708       1435.67        1       0.00000
      987.194       519.053       1424.35        1       0.00000
      987.294       495.112       1411.35        1       0.00000
      987.394       499.945       1401.93        1       0.00000
      987.494       516.154       1393.93        1       0.00000
      987.594       466.931       1394.75        1       0.00000
      987.694       397.810       1398.25        1       0.00000
      987.794       405.032       1412.29        1       0.00000
      987.894       429.424       1428.70        1       0.00000
      987.994       439.301       1456.33        1       0.00000
      988.094       446.729       1485.82        1       0.00000
      988.194       443.813       1510.78        1       0.00000
      988.294       439.828       1535.28        1       0.00000
      988.394       358.897       1577.67        1       0.00000
      988.494       276.634       1620.78        1       0.00000
      988.594       326.033       1657.08        1       0.00000
      988.694       373.214       1692.86        1       0.00000
      988.794       383.145       1719.86        1       0.00000
      988.894       392.964       1746.96        1       0.00000
      988.994       401.894       1774.96        1       0.00000
      989.094       400.079       1802.79        1       0.00000
      989.194       340.280       1829.78        1       0.00000
      989.294       274.683       1854.93        1       0.00000
      989.394       186.967       1872.92        1       0.00000
      989.494       121.640       1889.52        1       0.00000
      989.594       121.450       1902.01        1       0.00000
      989.694       113.164       1911.29        1       0.00000
      989.794       86.5399       1913.29        1       0.00000
      989.894       89.4240       1910.66        1       0.00000
      989.994       145.569       1899.66        1       0.00000
      990.094       198.547       1888.46        1       0.00000
      990.194       246.955       1876.97        1       0.00000
      990.294       250.079       1869.57        1       0.00000
      990.394       199.260       1867.07        1       0.00000
      990.494       224.031       1855.46        1       0.00000
      990.594       322.448       1834.97        1       0.00000
      990.694       370.069       1812.81        1       0.00000
      990.794       377.157       1789.30        1       0.00000
      990.894       378.066       1779.45        1       0.00000
      990.994       374.962       1778.45        1       0.00000
      991.094       310.598       1790.24        1       0.00000
      991.194       214.149       1808.74        1       0.00000
      991.294       197.364       1825.83        1       0.00000
      991.394       213.682       1842.33        1       0.00000
      991.494       233.942       1852.39        1       0.00000
      991.594       255.452       1860.38        1       0.00000
      991.694       271.081       1870.11        1       0.00000
      991.794       273.995       1883.61        1       0.00000
      991.894       257.452       1900.03        1       0.00000
      991.994       207.221       1921.54        1       0.00000
      992.094       194.418       1936.37        1       0.00000
      992.194       234.036       1941.86        1       0.00000
      992.294       276.708       1944.33        1       0.00000
      992.394       322.823       1943.34        1       0.00000
      992.494       316.676       1948.02        1       0.00000
      992.594       261.547       1958.01        1       0.00000
      992.694       227.458       1972.54        1       0.00000
      992.794       209.456       1990.54        1       0.00000
      992.894       200.026       2010.14        1       0.00000
      992.994       195.918       2030.75        1       0.00000
      993.094       155.352       2048.91        1       0.00000
      993.194       97.3455       2065.90        1       0.00000
      993.294       71.5034       2089.44        1       0.00000
      993.394       57.8191       2115.42        1       0.00000
      993.494       88.0183       2129.40        1       0.00000
      993.594       130.855       2139.90        1       0.00000
      993.694       144.108       2152.93        1       0.00000
      993.794       151.161       2166.50        1       0.00000
      993.894       226.538       2169.81        1       0.00000
      993.994       310.720       2171.81        1       0.00000
      994.094       367.867       2170.07        1       0.00000
      994.194       423.184       2168.07        1       0.00000
      994.294       488.553       2168.53        1       0.00000
      994.394       553.366       2168.16        1       0.00000
      994.494       604.701       2149.65        1       0.00000
      994.594       648.135       2131.49        1       0.00000
      994.694       617.861       2116.42        1       0.00000
      994.794       597.759       2104.01        1       0.00000
      994.894       632.683       2106.01        1       0.00000
      994.994       684.144       2110.30        1       0.00000
      995.094       798.868       2123.36        1       0.00000
      995.194       914.453       2138.67        1       0.00000
      995.294       1032.48       2160.17        1       0.00000
      995.394       1115.37       2185.67        1       0.00000
      995.494       1122.44       2219.85        1       0.00000
      995.594       1106.96       2256.40        1       0.00000
      995.694       1054.18       2296.88        1       0.00000
      995.794       1028.33       2347.34        1       0.00000
      995.894       1038.73       2411.13        1       0.00000
      995.994       1030.02       2482.06        1       0.00000
      996.094       1001.12       2560.44        1       0.00000
      996.194       1022.03       2633.68        1       0.00000
      996.294       1084.35       2702.69        1       0.00000
      996.394       1103.68       2755.99        1       0.00000
      996.494       1093.96       2798.71        1       0.00000
      996.594       1110.50       2836.79        1       0.00000
      996.694       1140.80       2872.47        1       0.00000
      996.794       1156.63       2904.92        1       0.00000
      996.894       1166.71       2936.06        1       0.00000
      996.994       1118.31       2955.46        1       0.00000
      997.094       1053.08       2971.46        1       0.00000
      997.194       1017.52       2991.67        1       0.00000
      997.294       988.159       3012.78        1       0.00000
      997.394       966.580       3051.70        1       0.00000
      997.494       945.984       3092.92        1       0.00000
      997.594       965.781       3148.38        1       0.00000
      997.694       988.522       3204.46        1       0.00000
      997.794       1121.78       3232.11        1       0.00000
      997.894       1257.95       3258.61        1       0.00000
      997.994       1436.23       3269.11        1       0.00000
      998.094       1600.85       3279.32        1       0.00000
      998.194       1662.89       3287.35        1       0.00000
      998.294       1722.59       3294.86        1       0.00000
      998.394       1771.17       3299.89        1       0.00000
      998.494       1817.85       3305.87        1       0.00000
      998.594       1858.27       3314.91        1       0.00000
      998.694       1863.93       3330.64        1       0.00000
      998.794       1786.87       3362.32        1       0.00000
      998.894       1699.73       3399.70        1       0.00000
      998.994       1594.23       3447.45        1       0.00000
      999.094       1470.54       3494.54        1       0.00000
      999.194       1321.23       3540.77        1       0.00000
      999.294       1291.69       3585.10        1       0.00000
      999.394       1393.77       3627.29        1       0.00000
      999.494       1462.79       3667.46        1       0.00000
      999.594       1503.15       3705.84        1       0.00000
      999.694       1574.30       3743.19        1       0.00000
      999.794       1665.50       3779.89        1       0.00000
      999.894       1732.96       3804.51        1       0.00000
      999.994       1788.60       3823.10        1       0.00000
      1000.09       1883.03       3850.82        1       0.00000
      1000.19       1992.07       3881.97        1       0.00000
      1000.29       1994.35       3922.62        1       0.00000
      1000.39       1967.65       3965.82        1       0.00000
      1000.49       1912.18       3971.18        1       0.00000
      1000.59       1851.53       3969.67        1       0.00000
      1000.69       1793.24       4011.42        1       0.00000
      1000.79       1735.13       4057.16        1       0.00000
      1000.89       1648.66       4095.04        1       0.00000
      1000.99       1568.05       4131.88        1       0.00000
      1001.09       1661.16       4145.94        1       0.00000
      1001.19       1737.86       4157.40        1       0.00000
      1001.29       1659.77       4144.26        1       0.00000
      1001.39       1507.04       4126.47        1       0.00000
      1001.49       978.897       4085.24        1       0.00000
      1001.59       544.727       4044.73        1       0.00000
      1001.69       430.385       4006.55        1       0.00000
      1001.79       457.551       3966.56        1       0.00000
      1001.89       837.671       3922.12        1       0.00000
      1001.99       981.007       3870.03        1       0.00000
      1002.09       696.343       3804.21        1       0.00000
      1002.19       439.188       3732.58        1       0.00000
      1002.29       220.460       3652.74        1       0.00000
      1002.39       344.425       3574.14        1       0.00000
      1002.49       830.157       3496.74        1       0.00000
      1002.59       1226.95       3427.71        1       0.00000
      1002.69       1550.15       3365.60        1       0.00000
      1002.79       1672.87       3312.62        1       0.00000
      1002.89       1670.62       3265.39        1       0.00000
      1002.99       1232.64       3221.74        1       0.00000
      1003.09       586.821       3179.84        1       0.00000
      1003.19       738.623       3136.24        1       0.00000
      1003.29       1162.22       3092.05        1       0.00000
      1003.39       1629.45       3046.82        1       0.00000
